respondent_id,age_group,region,city_tier,occupation,fashion_identity,price_sensitivity,brand_openness,online_purchase_confidence,sustainability_consciousness,purchase_frequency,preferred_shopping_channel,discovery_channel,conversion_trigger,discount_preference,owns_kurti,owns_salwar_suit,owns_palazzo,owns_indo_western,owns_night_suit,owns_bedding_set,owns_saree,owns_lehenga,fabric_preference,color_preference,monthly_income_band
ZF-0001,35-44,West_India,Metro,Salaried_Private,Occasion_Driven,Quality_Over_Price,Multi_Brand_Shopper,Neutral,Very_Conscious,Every_2_3_Months,Social_Commerce,Online_Marketplace,Customer_Reviews,Flat_Percent_Off,1,1,1,1,0,1,1,1,Silk_Banarasi,Pastels,70K_120K
ZF-0002,35-44,South_India,Metro,Salaried_Private,Fusion_Lover,Quality_Over_Price,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Every_6_Months,Brand_Website,Word_of_Mouth,Friend_Wore_It,Personalised_Offer,0,1,0,1,0,0,1,1,Rayon_Viscose,Jewel_Tones,40K_70K
ZF-0003,18-24,North_India,Rural,Homemaker,Trend_First,Balanced,Very_Loyal_One_Brand,Very_Confident,Somewhat_Conscious,Every_2_3_Months,Online_Marketplace,Word_of_Mouth,Friend_Wore_It,Flat_Percent_Off,0,1,0,0,1,1,0,0,Georgette_Chiffon,Bright_Vibrant,Below_20K
ZF-0004,25-34,East_India,Metro,Retired,Comfort_First,Quality_Over_Price,No_Brand_Preference,Neutral,Somewhat_Conscious,Every_6_Months,Local_Retail,Instagram_Reels,Customer_Reviews,Flat_Percent_Off,1,0,0,1,0,0,1,0,Rayon_Viscose,Bright_Vibrant,20K_40K
ZF-0005,45-54,North_India,Tier_2,Homemaker,Deeply_Traditional,Balanced,Very_Loyal_One_Brand,Not_Confident_At_All,Somewhat_Conscious,Festival_Only,Social_Commerce,YouTube,Customer_Reviews,Festival_Sale,1,0,0,0,1,0,1,1,Pure_Cotton,Bright_Vibrant,40K_70K
ZF-0006,35-44,South_India,Tier_2,Self_Employed,Culturally_Rooted,Price_Conscious,Loyal_But_Open,Neutral,Neutral,Festival_Only,Online_Marketplace,Online_Marketplace,Influencer_Rec,Flat_Percent_Off,1,1,0,0,1,0,1,0,Rayon_Viscose,Jewel_Tones,
ZF-0007,25-34,West_India,Metro,Salaried_Private,Fusion_Lover,Extremely_Price_Sensitive,Multi_Brand_Shopper,Neutral,Not_Important,Festival_Only,Local_Retail,WhatsApp_Family,Detailed_Size_Guide,Festival_Sale,0,0,1,1,1,0,0,0,Silk_Banarasi,Neutrals,Below_20K
ZF-0008,55+,North_India,Tier_3,Salaried_Govt,Comfort_First,Price_Conscious,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Rarely,Brand_Website,Word_of_Mouth,COD_Available,Free_Shipping,1,0,1,0,1,1,1,1,Rayon_Viscose,Jewel_Tones,Above_120K
ZF-0009,35-44,South_India,Tier_3,Salaried_Private,Comfort_First,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Very_Conscious,Every_6_Months,Local_Retail,Word_of_Mouth,Friend_Wore_It,Buy2_Get1_Bundle,1,0,1,0,0,1,1,1,Linen,Pastels,70K_120K
ZF-0010,25-34,North_India,Tier_2,Salaried_Govt,Culturally_Rooted,Balanced,Loyal_But_Open,Very_Confident,Somewhat_Conscious,Festival_Only,Local_Retail,Word_of_Mouth,Real_Customer_Photos,Buy2_Get1_Bundle,1,1,1,0,1,1,0,0,Pure_Cotton,Bright_Vibrant,
ZF-0011,35-44,North_India,Tier_3,Self_Employed,Deeply_Traditional,Price_Conscious,Very_Loyal_One_Brand,Fairly_Confident,Neutral,Festival_Only,Brand_Website,TV_Print,Free_Return_Policy,Free_Shipping,1,1,1,0,1,1,1,0,Pure_Cotton,Bright_Vibrant,20K_40K
ZF-0012,25-34,East_India,Tier_2,Retired,Trend_First,Price_Conscious,Loyal_But_Open,Not_Very_Confident,Not_Important,Monthly_Plus,Local_Retail,WhatsApp_Family,Friend_Wore_It,Flat_Percent_Off,0,1,1,0,0,0,0,0,Linen,Dark_Tones,70K_120K
ZF-0013,25-34,West_India,Tier_2,Self_Employed,Occasion_Driven,Price_Irrelevant,Very_Loyal_One_Brand,Very_Confident,Somewhat_Conscious,Every_6_Months,Online_Marketplace,Instagram_Reels,First_Order_Discount,Personalised_Offer,1,1,1,1,0,1,1,1,Silk_Banarasi,Bright_Vibrant,40K_70K
ZF-0014,25-34,West_India,Tier_3,Homemaker,Culturally_Rooted,Price_Conscious,Very_Loyal_One_Brand,Very_Confident,Somewhat_Conscious,Rarely,Local_Retail,Instagram_Reels,Real_Customer_Photos,Flat_Percent_Off,1,0,1,1,0,0,1,1,Chanderi,Dark_Tones,40K_70K
ZF-0015,25-34,West_India,Metro,Homemaker,Deeply_Traditional,Balanced,Multi_Brand_Shopper,Fairly_Confident,Somewhat_Conscious,Monthly_Plus,Online_Marketplace,Instagram_Reels,Customer_Reviews,Personalised_Offer,0,1,1,1,0,1,1,1,Georgette_Chiffon,Jewel_Tones,Above_120K
ZF-0016,35-44,East_India,Tier_2,Self_Employed,Occasion_Driven,Balanced,Loyal_But_Open,Fairly_Confident,Not_Important,Festival_Only,Brand_Website,YouTube,Friend_Wore_It,Festival_Sale,0,0,0,0,1,1,0,1,Linen,Jewel_Tones,70K_120K
ZF-0017,25-34,North_India,Metro,Homemaker,Fusion_Lover,Balanced,Very_Loyal_One_Brand,Not_Confident_At_All,Very_Conscious,Every_6_Months,Social_Commerce,Instagram_Reels,Friend_Wore_It,Festival_Sale,1,1,1,0,0,0,1,0,Linen,Dark_Tones,20K_40K
ZF-0018,25-34,West_India,Metro,Salaried_Private,Trend_First,Quality_Over_Price,Loyal_But_Open,Neutral,Somewhat_Conscious,Every_2_3_Months,Online_Marketplace,Instagram_Reels,Customer_Reviews,Free_Shipping,1,0,1,1,0,1,0,0,Rayon_Viscose,Dark_Tones,40K_70K
ZF-0019,45-54,North_India,Tier_2,Salaried_Private,Culturally_Rooted,Balanced,Multi_Brand_Shopper,Neutral,Neutral,Monthly_Plus,Online_Marketplace,Walk_In_Store,Customer_Reviews,Flat_Percent_Off,0,1,1,1,0,0,1,1,Georgette_Chiffon,Bright_Vibrant,Above_120K
